1
2,350
1s,27a,G
1s,6a,F
1s,47a,GG
1s,48a,HH
1s,27a,G
1s,22a,B
1s,34a,DD
1s,39a,II
1s,43a,C
1s,23a,CC
2s,9a,I
2s,31a,A
2s,9a,I
2s,22a,BB
3s,11a,A
3s,42a,B
3s,16a,FF
3s,6a,FF
3s,16a,F
3s,28a,H
3s,41a,AA
3s,28a,H
3s,44a,D
3s,17a,GG
4s,21a,AA
4s,8a,HH
4s,33a,CC
4s,36a,F
4s,8a,HH
4s,39a,I
4s,6a,FF
4s,43a,C
4s,19a,I
4s,5a,EE
5s,19a,II
5s,16a,FF
5s,19a,II
5s,50a,JJ
5s,8a,H
5s,27a,GG
5s,47a,GG
5s,35a,EE
5s,3a,C
5s,25a,EE
6s,2a,BB
6s,5a,EE
6s,26a,F
6s,42a,B
6s,46a,FF
6s,8a,H
6s,12a,BB
6s,39a,I
7s,24a,DD
7s,44a,D
7s,10a,J
7s,14a,DD
7s,9a,I
7s,18a,HH
7s,34a,D
7s,37a,G
7s,9a,II
7s,33a,C
7s,42a,BB
8s,16a,FF
8s,11a,A
8s,16a,FF
8s,7a,G
8s,30a,J
8s,30a,JJ
8s,37a,G
8s,1a,AA
8s,26a,FF
8s,14a,D
9s,20a,JJ
9s,14a,D
9s,42a,BB
9s,39a,I
9s,24a,D
9s,13a,CC
9s,2a,B
9s,47a,G
10s,29a,II
10s,21a,AA
10s,13a,C
10s,10a,J
11s,19a,I
11s,34a,DD
11s,22a,BB
11s,9a,I
11s,48a,H
11s,5a,EE
11s,40a,JJ
11s,50a,J
11s,12a,BB
11s,16a,FF
11s,19a,II
12s,48a,HH
12s,48a,H
12s,37a,GG
12s,33a,C
12s,3a,CC
12s,49a,I
12s,15a,E
12s,20a,J
12s,46a,F
13s,31a,A
13s,46a,F
13s,29a,II
13s,42a,B
13s,6a,F
13s,49a,I
13s,36a,FF
13s,25a,E
14s,16a,F
14s,49a,II
14s,40a,JJ
14s,44a,DD
14s,18a,HH
14s,1a,AA
14s,28a,HH
14s,45a,E
14s,22a,B
14s,8a,H
15s,8a,HH
15s,26a,FF
15s,46a,FF
15s,5a,E
15s,14a,D
15s,24a,DD
15s,20a,JJ
15s,24a,DD
15s,9a,I
15s,44a,DD
16s,7a,G
16s,30a,JJ
16s,8a,HH
16s,18a,H
16s,29a,II
16s,33a,CC
16s,17a,GG
16s,33a,CC
16s,17a,G
16s,36a,FF
17s,22a,BB
17s,42a,BB
17s,7a,GG
17s,12a,B
17s,20a,J
17s,18a,HH
17s,33a,C
17s,1a,A
18s,32a,B
18s,35a,E
18s,39a,I
18s,41a,A
18s,3a,CC
18s,4a,D
18s,45a,EE
18s,11a,AA
18s,7a,GG
18s,34a,D
19s,46a,F
19s,30a,JJ
19s,32a,BB
19s,34a,DD
19s,2a,BB
19s,30a,JJ
20s,46a,FF
20s,36a,FF
20s,47a,G
20s,1a,A
20s,2a,B
20s,18a,HH
20s,10a,J
20s,28a,H
20s,1a,A
21s,9a,I
21s,36a,F
21s,42a,B
21s,2a,B
21s,8a,H
21s,40a,J
21s,3a,C
21s,4a,DD
21s,21a,A
22s,20a,JJ
22s,26a,F
22s,37a,G
22s,3a,CC
22s,6a,F
22s,1a,A
22s,39a,I
22s,27a,GG
22s,25a,E
22s,42a,B
22s,41a,AA
23s,22a,B
23s,27a,G
23s,12a,B
23s,32a,B
23s,32a,B
24s,11a,A
24s,43a,C
24s,50a,JJ
24s,29a,II
24s,13a,C
24s,38a,H
24s,21a,AA
25s,41a,A
25s,31a,AA
25s,45a,E
25s,9a,I
25s,50a,J
25s,16a,F
25s,36a,F
25s,40a,J
25s,7a,GG
26s,46a,F
26s,3a,CC
26s,14a,DD
26s,5a,EE
26s,36a,F
26s,44a,DD
26s,12a,BB
26s,44a,DD
27s,20a,J
27s,45a,E
27s,7a,GG
27s,50a,J
27s,37a,GG
27s,39a,I
27s,14a,D
28s,23a,CC
28s,15a,EE
28s,11a,AA
28s,26a,F
28s,18a,H
28s,12a,B
28s,5a,EE
28s,22a,BB
28s,44a,DD
28s,9a,I
29s,22a,B
29s,45a,EE
29s,11a,A
29s,35a,EE
30s,36a,FF
30s,41a,A
30s,1a,AA
30s,23a,C
30s,20a,J
30s,30a,J
30s,29a,II
30s,30a,JJ
30s,8a,H
30s,32a,BB
30s,33a,C
31s,47a,GG
31s,37a,GG
31s,10a,JJ
31s,6a,FF
31s,30a,J
31s,43a,C
31s,8a,H
31s,15a,EE
31s,44a,D
31s,43a,C
31s,36a,FF
31s,18a,H
32s,8a,H
32s,15a,E
32s,31a,AA
32s,45a,E
32s,20a,JJ
32s,25a,E
32s,3a,CC
32s,6a,FF
32s,18a,HH
32s,4a,D
32s,34a,DD
32s,46a,F
32s,27a,G
32s,30a,J
33s,28a,H
33s,49a,I
33s,39a,I
33s,4a,DD
33s,14a,D
33s,34a,D
34s,11a,AA
34s,23a,CC
34s,3a,C
34s,46a,FF
35s,33a,C
35s,31a,A
35s,32a,BB
35s,25a,E
35s,10a,JJ
35s,31a,AA
35s,26a,F
35s,30a,J
35s,36a,FF
35s,1a,AA
35s,10a,JJ
35s,15a,EE
35s,18a,H
35s,20a,JJ
35s,24a,D
36s,3a,C
36s,7a,G
36s,2a,B
36s,25a,EE
36s,26a,F
36s,20a,JJ
36s,27a,GG
36s,37a,G
36s,25a,E
36s,8a,H
36s,34a,DD
37s,39a,II
37s,50a,J
37s,35a,EE
37s,50a,J
37s,36a,FF
37s,10a,J
37s,39a,I
38s,9a,II
38s,50a,J
38s,49a,I
38s,14a,D
38s,5a,E
38s,17a,G
38s,17a,G
38s,30a,JJ
38s,37a,GG
39s,50a,JJ
39s,48a,H
39s,39a,II
39s,20a,JJ
39s,46a,FF
39s,48a,HH
40s,50a,J
40s,43a,C
40s,37a,GG
40s,40a,J
40s,44a,DD
40s,10a,J
40s,13a,CC
40s,7a,G
40s,1a,A
40s,3a,C
40s,18a,H
40s,26a,FF
40s,18a,HH
40s,10a,J
40s,28a,HH
40s,31a,AA
40s,39a,I
40s,49a,II
41s,2a,B
41s,12a,B
41s,20a,JJ
41s,13a,CC
41s,34a,DD
41s,35a,EE
41s,29a,II
41s,4a,D
41s,45a,E
41s,28a,HH
42s,19a,II
42s,21a,A
42s,26a,F
42s,37a,G
42s,48a,HH
43s,29a,I
43s,10a,J
43s,14a,D
43s,28a,HH
44s,23a,CC
44s,45a,E
44s,9a,I
44s,33a,C
44s,45a,EE
44s,25a,E
44s,41a,AA
44s,20a,J
45s,6a,FF
45s,22a,B
45s,41a,A
45s,28a,H
45s,44a,DD
45s,31a,AA
45s,34a,D
45s,14a,D
45s,15a,EE
45s,31a,AA
45s,30a,JJ
45s,49a,I
46s,7a,GG
46s,21a,AA
46s,7a,GG
46s,46a,F
46s,5a,E
46s,1a,A
46s,41a,A
46s,32a,B
46s,39a,II
46s,40a,J
47s,20a,J
47s,42a,B
47s,27a,G
48s,36a,FF
48s,45a,EE
48s,27a,GG
48s,19a,II
48s,13a,C
48s,1a,AA
48s,6a,F
49s,13a,C
49s,25a,E
49s,3a,CC
49s,10a,JJ
49s,3a,C
49s,10a,JJ
49s,47a,G
49s,25a,E
49s,4a,DD
49s,30a,JJ
49s,34a,D
49s,46a,FF
49s,17a,GG
50s,4a,DD
50s,11a,A
50s,31a,AA
50s,33a,CC
50s,7a,G
50s,43a,CC
50s,50a,JJ
51s,30a,J
51s,18a,H
51s,17a,G
51s,32a,B
51s,22a,B
51s,2a,B
51s,7a,GG
51s,6a,FF
51s,44a,DD
51s,24a,D
51s,40a,J
52s,40a,J
52s,45a,E
52s,29a,II
52s,15a,E
52s,5a,E
52s,16a,F
52s,23a,C
52s,4a,D
52s,16a,FF
53s,27a,G
53s,18a,HH
53s,44a,D
53s,5a,E
53s,2a,BB
53s,44a,DD
53s,20a,JJ
54s,11a,A
54s,25a,EE
54s,29a,I
54s,38a,HH
54s,9a,I
54s,46a,FF
54s,18a,HH
54s,35a,E
54s,18a,H
54s,37a,GG
55s,21a,AA
55s,22a,BB
55s,41a,A
55s,7a,GG
55s,21a,A
55s,19a,I
55s,27a,GG
55s,31a,A
55s,39a,II
55s,45a,EE
55s,4a,D
55s,6a,FF
55s,47a,G
56s,43a,C
56s,17a,G
56s,2a,BB
56s,20a,JJ
56s,38a,H
56s,4a,DD
56s,16a,F
56s,29a,II
57s,6a,F
57s,4a,DD
57s,27a,G
57s,42a,B
57s,39a,I
57s,21a,AA
57s,7a,GG
57s,10a,JJ
57s,32a,B
57s,39a,II
57s,1a,AA
57s,38a,HH
57s,37a,GG
58s,22a,B
58s,30a,JJ
58s,15a,E
58s,20a,J
58s,48a,HH
58s,15a,EE
58s,50a,JJ
58s,38a,H
58s,34a,DD
59s,32a,BB
59s,44a,DD
59s,10a,JJ
59s,41a,AA
59s,23a,CC
59s,26a,F
59s,14a,DD
59s,17a,GG
59s,41a,A
59s,23a,C
59s,38a,H
59s,46a,FF
60s,23a,C
60s,12a,BB
60s,13a,CC
60s,12a,BB
60s,42a,BB
60s,4a,DD
60s,49a,I
60s,5a,E
60s,7a,G
60s,48a,H
60s,8a,HH
60s,36a,FF
60s,3a,CC
60s,42a,BB
60s,6a,F
60s,18a,HH
60s,4a,D
60s,45a,EE
61s,27a,GG
61s,31a,A
61s,48a,HH
62s,5a,EE
62s,9a,II
62s,26a,FF
62s,18a,HH
62s,18a,H
62s,25a,E
62s,42a,B
62s,18a,H
62s,32a,BB
62s,35a,E
62s,4a,DD
62s,43a,C
62s,9a,I
62s,20a,JJ
62s,36a,FF
62s,1a,AA
63s,23a,CC
63s,26a,FF
63s,37a,GG
63s,17a,G
63s,19a,I
