1
2,350
1s,27a,G
1s,6a,F
1s,47a,GG
1s,48a,HH
1s,27a,G
1s,22a,B
1s,34a,DD
1s,39a,II
1s,43a,C
1s,23a,CC
2s,9a,I
2s,31a,A
2s,9a,I
2s,22a,BB
3s,11a,A
3s,42a,B
3s,16a,FF
3s,6a,FF
3s,16a,F
3s,28a,H
3s,41a,AA
3s,28a,H
3s,44a,D
3s,17a,GG
4s,21a,AA
4s,8a,HH
4s,33a,CC
4s,36a,F
4s,8a,HH
4s,39a,I
4s,6a,FF
4s,43a,C
4s,19a,I
4s,5a,EE
5s,19a,II
5s,16a,FF
5s,19a,II
5s,50a,JJ
5s,8a,H
5s,27a,GG
5s,47a,GG
5s,35a,EE
5s,3a,C
5s,25a,EE
6s,2a,BB
6s,5a,EE
6s,26a,F
6s,42a,B
6s,46a,FF
6s,8a,H
6s,12a,BB
6s,39a,I
7s,24a,DD
7s,44a,D
7s,10a,J
7s,14a,DD
7s,9a,I
7s,18a,HH
7s,34a,D
7s,37a,G
7s,9a,II
7s,33a,C
7s,42a,BB
8s,16a,FF
8s,11a,A
8s,16a,FF
8s,7a,G
8s,30a,J
8s,30a,JJ
8s,37a,G
8s,1a,AA
8s,26a,FF
8s,14a,D
9s,20a,JJ
9s,14a,D
9s,42a,BB
9s,39a,I
9s,24a,D
9s,13a,CC
9s,2a,B
9s,47a,G
10s,29a,II
10s,21a,AA
10s,13a,C
10s,10a,J
Bart Complex
190
Lisa Complex
121
